alt_system_id,alt_system,label
ALT_SYS_0001,无,AltSystemOption
ALT_SYS_0002,超导电感,AltSystemOption
ALT_SYS_0003,钠电池,AltSystemOption
ALT_SYS_0004,无氨替代肥料,AltSystemOption
ALT_SYS_0005,结构拓扑优化（同材料减重）,AltSystemOption
ALT_SYS_0006,无线电力传输,AltSystemOption
ALT_SYS_0007,N/A,AltSystemOption
ALT_SYS_0008,均相催化（无载体）,AltSystemOption
ALT_SYS_0009,拓扑优化金属结构,AltSystemOption
ALT_SYS_0010,钠电池（硬碳负极）,AltSystemOption
ALT_SYS_0011,废钢+电弧炉（无高炉）,AltSystemOption
ALT_SYS_0012,架线/电气化（铁路）,AltSystemOption
ALT_SYS_0013,减少氮肥用途（农业精准施肥）,AltSystemOption
ALT_SYS_0014,废钢+EAF（间接绿钢）,AltSystemOption
ALT_SYS_0015,熔盐堆（无固体包壳）,AltSystemOption
ALT_SYS_0016,碳纳米管FET（无高k需求）,AltSystemOption
ALT_SYS_0017,增材制造减少切削量,AltSystemOption
ALT_SYS_0018,无（发动机热效率依赖高温）,AltSystemOption
ALT_SYS_0019,抽水蓄能（超大规模）,AltSystemOption
ALT_SYS_0020,减少用钢量（设计优化）,AltSystemOption
ALT_SYS_0021,EV替代燃油车消除催化需求,AltSystemOption
ALT_SYS_0022,AEM（阴离子交换膜）燃料电池（可用非贵金属）,AltSystemOption
ALT_SYS_0023,AEM电解（非贵金属OER）,AltSystemOption
ALT_SYS_0024,无需正面金属栅线的全背接触电池（IBC）,AltSystemOption
ALT_SYS_0025,央行数字货币（CBDC）替代黄金储备,AltSystemOption
ALT_SYS_0026,精准施肥减少磷用量,AltSystemOption
ALT_SYS_0027,PFAS禁令推动替代（强制监管）,AltSystemOption
ALT_SYS_0028,无焊连接（弹簧触点/压接）,AltSystemOption
ALT_SYS_0029,12V→48V电气化（消除铅酸主用途）,AltSystemOption
ALT_SYS_0030,聚变,AltSystemOption
ALT_SYS_0031,大型核电,AltSystemOption
ALT_SYS_0032,天然气+储能,AltSystemOption
ALT_SYS_0033,Li-ion,AltSystemOption
ALT_SYS_0034,Li电,AltSystemOption
ALT_SYS_0035,铅酸,AltSystemOption
ALT_SYS_0036,液流电池,AltSystemOption
ALT_SYS_0037,超导体,AltSystemOption
ALT_SYS_0038,全固态电池,AltSystemOption
ALT_SYS_0039,量子比特,AltSystemOption
